Tyranitar
Moves
Rock Slide 72.112%
Earthquake 69.049%
Hidden Power Bug 42.807%
Dragon Dance 40.885%
Focus Punch 26.877%
Crunch 24.619%
Pursuit 23.523%
Fire Blast 20.179%
Hidden Power Grass 15.148%
Brick Break 13.156%
Ice Beam 11.449%
Double-Edge 8.657%
Roar 6.355%
Flamethrower 5.337%
Other 19.847%
Teammates
Swampert 47.663%
Skarmory 45.929%
Gengar 36.452%
Metagross 32.764%
Blissey 31.407%
Salamence 27.448%
Zapdos 26.363%
Aerodactyl 25.109%
Starmie 21.406%
Celebi 20.378%
Jirachi 14.486%
Checks and Counters
Metagross
Moves
Meteor Mash 97.811%
Explosion 87.679%
Earthquake 86.126%
Rock Slide 39.639%
Agility 35.488%
Psychic 10.761%
Protect 10.622%
Hidden Power Fire 9.145%
Hidden Power Grass 3.674%
Other 19.055%
Teammates
Tyranitar 40.163%
Salamence 39.962%
Snorlax 34.250%
Suicune 27.307%
Magneton 26.528%
Zapdos 25.048%
Swampert 21.647%
Celebi 21.619%
Gengar 20.789%
Skarmory 18.323%
Starmie 18.091%
Checks and Counters
Swampert
Moves
Ice Beam 70.381%
Earthquake 69.646%
Hydro Pump 53.845%
Protect 53.652%
Surf 36.752%
Toxic 22.380%
Refresh 20.905%
Roar 18.524%
Focus Punch 17.076%
Substitute 9.564%
Endeavor 8.781%
Other 18.493%
Teammates
Tyranitar 68.981%
Skarmory 41.736%
Gengar 37.088%
Zapdos 33.997%
Blissey 33.202%
Aerodactyl 25.878%
Metagross 25.557%
Salamence 24.725%
Celebi 23.776%
Starmie 17.823%
Snorlax 13.916%
Checks and Counters
Skarmory
Moves
Spikes 99.066%
Roar 86.442%
Protect 66.035%
Toxic 64.423%
Drill Peck 46.189%
Taunt 13.415%
Whirlwind 8.096%
Other 16.334%
Teammates
Tyranitar 66.880%
Blissey 45.562%
Gengar 44.606%
Swampert 41.992%
Starmie 25.809%
Aerodactyl 21.838%
Metagross 21.765%
Zapdos 21.180%
Celebi 19.932%
Salamence 18.986%
Claydol 17.439%
Checks and Counters
Salamence
Moves
Brick Break 57.919%
Hidden Power Flying 54.130%
Earthquake 49.811%
Rock Slide 49.379%
Dragon Dance 43.818%
Fire Blast 38.801%
Dragon Claw 38.621%
Hidden Power Grass 25.845%
Flamethrower 8.506%
Wish 6.154%
Hydro Pump 5.319%
Refresh 4.486%
Other 17.210%
Teammates
Metagross 51.606%
Tyranitar 43.450%
Snorlax 34.136%
Magneton 30.944%
Swampert 27.044%
Suicune 26.993%
Celebi 21.964%
Blissey 21.535%
Skarmory 20.640%
Starmie 14.471%
Zapdos 13.750%
Checks and Counters
Gengar
Moves
Thunderbolt 80.096%
Ice Punch 78.056%
Explosion 54.759%
Will-O-Wisp 47.620%
Fire Punch 27.384%
Hidden Power Grass 24.598%
Taunt 24.471%
Giga Drain 22.058%
Destiny Bond 10.276%
Hypnosis 5.757%
Psychic 3.529%
Focus Punch 3.012%
Other 18.383%
Teammates
Tyranitar 60.641%
Skarmory 50.961%
Swampert 42.632%
Blissey 33.024%
Metagross 28.213%
Zapdos 20.869%
Starmie 20.278%
Aerodactyl 17.220%
Dugtrio 16.012%
Salamence 14.036%
Jolteon 13.372%
Checks and Counters
Blissey
Moves
Soft-Boiled 94.758%
Ice Beam 74.812%
