Tauros
Moves
Body Slam 98.159%
Hyper Beam 96.720%
Earthquake 91.106%
Blizzard 82.010%
Thunderbolt 13.693%
Other 18.311%
Teammates
Snorlax 78.663%
Chansey 74.969%
Exeggutor 62.998%
Starmie 52.432%
Alakazam 38.564%
Rhydon 27.723%
Gengar 24.106%
Zapdos 23.622%
Jynx 21.919%
Cloyster 16.198%
Jolteon 9.078%
Checks and Counters
Snorlax
Moves
Body Slam 88.235%
Rest 56.865%
Earthquake 52.660%
Reflect 46.184%
Self-Destruct 44.706%
Hyper Beam 33.651%
Amnesia 22.194%
Ice Beam 18.971%
Counter 11.415%
Blizzard 10.547%
Other 14.572%
Teammates
Tauros 88.903%
Chansey 75.196%
Exeggutor 64.515%
Starmie 53.006%
Alakazam 37.268%
Rhydon 25.800%
Zapdos 24.052%
Gengar 23.689%
Jynx 19.279%
Cloyster 12.616%
Jolteon 8.172%
Checks and Counters
Chansey
Moves
Soft-Boiled 98.576%
Ice Beam 81.904%
Thunder Wave 79.059%
Thunderbolt 54.317%
Sing 25.824%
Seismic Toss 21.909%
Reflect 13.611%
Counter 12.727%
Other 12.074%
Teammates
Tauros 89.398%
Snorlax 79.340%
Exeggutor 60.576%
Starmie 53.521%
Alakazam 36.334%
Rhydon 28.661%
Gengar 21.321%
Jynx 21.291%
Zapdos 20.700%
Cloyster 15.700%
Slowbro 8.082%
Checks and Counters
Exeggutor
Moves
Psychic 98.281%
Sleep Powder 95.316%
Explosion 87.740%
Stun Spore 47.541%
Mega Drain 37.464%
Double-Edge 13.424%
Hyper Beam 7.998%
Other 12.235%
Teammates
Tauros 84.369%
Snorlax 76.449%
Chansey 68.032%
Starmie 50.589%
Alakazam 35.934%
Gengar 25.331%
Rhydon 24.335%
Zapdos 22.583%
Cloyster 14.552%
Jynx 13.535%
Jolteon 9.475%
Checks and Counters
Starmie
Moves
Recover 94.222%
Thunder Wave 91.418%
Psychic 61.334%
Blizzard 55.988%
Thunderbolt 55.134%
Surf 24.122%
Other 17.781%
Teammates
Tauros 90.248%
Snorlax 80.727%
Chansey 77.254%
Exeggutor 65.018%
Alakazam 32.994%
Rhydon 31.344%
Jynx 20.749%
Zapdos 19.172%
Gengar 16.315%
Cloyster 9.251%
Jolteon 7.955%
Checks and Counters
Alakazam
Moves
Psychic 99.580%
Recover 96.390%
Thunder Wave 93.762%
Seismic Toss 62.745%
Reflect 21.614%
Kinesis 6.613%
Other 19.296%
Teammates
Tauros 81.317%
Snorlax 69.532%
Chansey 64.249%
Exeggutor 56.577%
Starmie 40.420%
Gengar 24.785%
Rhydon 19.496%
Zapdos 15.751%
Jynx 14.627%
Cloyster 14.362%
Slowbro 9.700%
Checks and Counters
Rhydon
Moves
Earthquake 99.473%
Rock Slide 84.158%
Body Slam 78.944%
Substitute 73.794%
Rest 15.733%
Tail Whip 11.463%
Hyper Beam 6.195%
Blizzard 5.359%
Surf 3.661%
Leer 3.606%
Other 17.613%
Teammates
Tauros 82.224%
Chansey 71.287%
Snorlax 67.708%
Starmie 54.010%
Exeggutor 53.892%
Alakazam 27.423%
Jynx 21.392%
Zapdos 16.223%
Gengar 15.224%
Cloyster 13.162%
Slowbro 8.938%
Checks and Counters
Gengar
Moves
Hypnosis 85.257%
Explosion 78.420%
Thunderbolt 77.615%
Psychic 64.318%
Confuse Ray 35.289%
Night Shade 33.367%
Mega Drain 8.511%
Other 17.223%
Teammates
Tauros 72.033%
Snorlax 62.634%
Exeggutor 56.521%
Chansey 53.427%
Alakazam 35.124%
Starmie 28.324%
Zapdos 21.442%
Cloyster 19.795%
Rhydon 15.338%
Dragonite 12.886%
Jynx 8.886%
Checks and Counters
Zapdos
Moves
Drill Peck 98.454%
Thunderbolt 96.272%
Thunder Wave 93.125%
Agility 71.908%
Rest 12.160%
Hyper Beam 6.425%
Reflect 5.822%
Other 15.833%
Teammates
Tauros 84.572%
Snorlax 76.195%
Chansey 62.149%
Exeggutor 60.373%
Starmie 39.879%
Alakazam 26.743%
Gengar 25.691%
Rhydon 19.583%
Cloyster 14.046%
